,Genes,Norm_Symbol,Phosphosite_hu_no
210,ACSM2A,ACSM2A,7
211,ACSM2B,ACSM2B,9
212,ACSM3,ACSM3,8
213,ACSM4,ACSM4,4
214,ACSM5,ACSM5,7
215,ACSM6,ACSM6,4
216,ACSS1,ACSS1,6
217,ACSS2,ACSS2,16
218,ACSS3,ACSS3,11
219,ACTA1,ACTA1,42
220,ACTA2,ACTA2,43
221,ACTB,ACTB,48
222,POTEH,POTEH,6
223,ACTBL2,ACTBL2,26
224,ACTC1,ACTC1,42
225,ACTG1,ACTG1,48
226,ACTG2,ACTG2,42
227,KLHL17,KLHL17,14
228,ACTL7B,ACTL7B,7
229,ACTL8,ACTL8,5
230,ACTL9,ACTL9,1
231,ACTN1,ACTN1,65
232,ACTN2,ACTN2,34
233,ACTN3,ACTN3,23
234,ACTN4,ACTN4,73
235,ACTR10,ACTR10,14
236,ACTR1A,ACTR1A,6
237,ACTR1B,ACTR1B,9
238,ACTR3B,ACTR3B,11
239,ACTR3C,ACTR3C,7
240,ACTR5,ACTR5,4
241,ACTR6,ACTR6,3
242,ACTR8,ACTR8,12
243,ACTRT1,ACTRT1,6
244,ACTRT2,ACTRT2,2
245,ACVR2A,ACVR2A,4
246,ACVR2B,ACVR2B,3
247,ACY1,ACY1,2
248,ACY3,ACY3,5
249,ACYP1,ACYP1,3
250,ACYP2,ACYP2,7
251,ADA,ADA,15
252,ADA2,ADA2,10
253,ADAD1,ADAD1,6
254,ADAD2,ADAD2,2
255,ADAM10,ADAM10,9
256,ADAM11,ADAM11,5
257,ADAM12,ADAM12,4
258,ADAM15,ADAM15,6
259,ADAM18,ADAM18,5
260,ADAM19,ADAM19,11
261,ADAM2,ADAM2,4
262,ADAM20,ADAM20,4
263,ADAM21,ADAM21,3
